"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL25073";"";"None";"513.60";"1";"4.83";"8f";"CCc1nc2c([N+](=O)[O-])c(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1";"Ki";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"16.16";"0.30";"3.47";"5.64";"0";"CHEMBL817144";"Tested in vitro for the selectivity against trypsin (Trp)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135304";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"5.0"
"CHEMBL418923";"";"None";"439.60";"0";"1.75";"11";"CCC(CC)N[C@@H](CC(=O)O)C(=O)N1CCCC[C@H]1CCOC1CCN(C(=N)N)CC1";"Ki";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"13.32";"0.26";"4.10";"4.44";"0";"CHEMBL817823";"In vitro inhibition of human trypsin.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135990";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"1400.0"
"CHEMBL3667909";"";"None";"483.52";"0";"4.30";"BDBM158103";"CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1ccc(C(=O)O)cc1";"Ki";"'='";"2.89";"nM";"8.54";"";"300464";"UO_0000065";"17.66";"0.34";"4.24";"5.99";"0";"CHEMBL3705369";"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639122";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"2.89"
"CHEMBL3667913";"";"None";"503.60";"1";"4.11";"BDBM158107";"CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@H](C(=O)O)C1CCCCC1";"Ki";"'='";"3.04";"nM";"8.52";"";"300468";"UO_0000065";"16.91";"0.33";"4.41";"5.97";"0";"CHEMBL3705369";"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639122";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"3.04"
"CHEMBL3672874";"";"None";"433.46";"0";"2.25";"BDBM158133";"CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N1C[C@H]1C(=O)O";"Ki";"'='";"0.96";"nM";"9.02";"";"300494";"UO_0000065";"20.80";"0.41";"6.77";"6.75";"0";"CHEMBL3705369";"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639122";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"0.96"
"CHEMBL3672883";"";"None";"505.61";"1";"4.50";"BDBM158143";"CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)NCCCCCC(=O)O";"Ki";"'='";"8.01";"nM";"8.10";"";"300504";"UO_0000065";"16.01";"0.32";"3.60";"5.68";"0";"CHEMBL3705369";"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639122";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"8.01"
"CHEMBL3672885";"";"None";"483.52";"0";"4.30";"BDBM158145";"CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1ccccc1C(=O)O";"Ki";"'='";"3.65";"nM";"8.44";"";"300506";"UO_0000065";"17.45";"0.34";"4.14";"5.92";"0";"CHEMBL3705369";"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639122";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"3.65"
"CHEMBL3672886";"";"None";"499.52";"0";"4.00";"BDBM158146";"CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1cc(O)cc(C(=O)O)c1";"Ki";"'='";"0.18";"nM";"9.74";"";"300507";"UO_0000065";"19.51";"0.38";"5.74";"5.99";"0";"CHEMBL3705369";"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639122";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"0.18"
"CHEMBL94563";"";"None";"364.41";"0";"1.78";"7";"N=C(N)c1cccc(NC(=O)CC2CC(c3cccc(C(=N)N)c3)=NO2)c1";"Ki";"'>'";"1200.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL879096";"The compound was evaluated for inhibitory activity against Trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129218";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"1.2"
"CHEMBL355985";"";"None";"269.34";"0";"2.93";"17 (table 3)";"NCc1ccc(C(=O)OCCCc2ccccc2)cc1";"Ki";"'='";"500034534.98";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL858270";"Inhibition of trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132536";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.301"
"CHEMBL279199";"";"None";"487.51";"0";"1.40";"NC3";"COc1cccc(S(=O)(=O)Nc2cccn(CC(=O)NCc3ccc(C(=N)N)cc3F)c2=O)c1";"Ki";"'='";"31.3";"nM";"7.50";"";"";"UO_0000065";"15.39";"0.30";"6.10";"4.80";"0";"CHEMBL817809";"In vitro inhibitory constant against trypsin";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136066";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"31.3"
"CHEMBL43817";"";"None";"495.61";"0";"3.83";"6g";"CC1CCCCN1C(=O)N(Cc1cccc(C(=N)NO)c1)NS(=O)(=O)c1ccc2ccccc2c1";"Ki";"'='";"67000.0";"nM";"4.17";"";"";"UO_0000065";"8.42";"0.16";"0.34";"3.32";"0";"CHEMBL815009";"In vitro inhibition of trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137966";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"67.0"
"CHEMBL82535";"";"None";"451.61";"0";"1.90";"7";"N=C(N)N1CCC(OCCC2CCCCN2C(=O)[C@H](CC(=O)O)NC2CCCCC2)CC1";"Ki";"'='";"2900.0";"nM";"5.54";"";"";"UO_0000065";"12.26";"0.24";"3.64";"4.20";"0";"CHEMBL817823";"In vitro inhibition of human trypsin.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135990";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"2900.0"
"CHEMBL137499";"";"None";"461.55";"0";"3.26";"75";"Cc1cc(-c2ccccc2S(N)(=O)=O)ccc1NC(=O)Cc1c[nH]c2ccc(C(=N)N)cc12";"Ki";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"14.01";"0.27";"3.21";"4.18";"0";"CHEMBL818182";"Binding affinity against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133520";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"340.0"
"CHEMBL136986";"";"None";"481.97";"0";"3.60";"74";"N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3Cl)c2c1";"Ki";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"14.22";"0.28";"3.25";"4.42";"0";"CHEMBL818182";"Binding affinity against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133520";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"140.0"
"CHEMBL164221";"";"None";"591.54";"1";"3.71";"32";"CC(C)(C)OC(=O)N[C@H](Cc1ccc(Cl)c(Cl)c1)C(=O)N1CCC[C@H]1C(=O)NCC1CCc2nc(N)ncc2C1";"Ki";"'>'";"68300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL817808";"In vitro inhibitory activity against Trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"68.3"
"CHEMBL2373475";"";"None";"555.55";"None";"None";"18";"C[S+]([O-])Cc1nc(Cc2ccccc2)n(CC(=O)N[C@@H](CCCCN)B2O[C@@H]3C[C@@H]4C[C@@H](C4(C)C)[C@]3(C)O2)n1";"Ki";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"14.97";"None";"None";"None";"0";"CHEMBL811614";"Inhibition of trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130774";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"4.8"
"CHEMBL308630";"";"None";"711.91";"1";"3.50";"21";"N=C(N)Nc1ccc(CNC(=O)N2CCN(C(=O)O[C@H]3CCC[C@@H](OC(=O)N4CCN(C(=O)CCCC5CCNCC5)CC4)CCC3)CC2)cc1";"Ki";"'='";"262000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL824723";"Compound was evaluated for its inhibitory potency against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132784";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"262.0"
"CHEMBL143139";"";"None";"434.54";"0";"2.54";"3";"Cc1nc(N)ccc1CNC(=O)Cn1c(C)cnc(NCC(C)(C)c2ccccc2)c1=O";"Ki";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"14.03";"0.26";"3.56";"5.30";"0";"CHEMBL815470";"Inhibitory constant against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145961";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"800.0"
"CHEMBL167550";"";"None";"416.49";"0";"2.17";"3";"Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccc2nccn2c1";"Ki";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"9.60";"0.18";"1.83";"4.29";"0";"CHEMBL817814";"Inhibition of Trypsin";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136608";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"100000.0"
"CHEMBL96354";"";"None";"546.46";"1";"2.89";"23";"O=C1Cn2c(Cl)cnc(c2=O)N[C@@H](Cc2ccccc2)CNCCOCCOc2ccc(Cl)cc2CN1";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"12.73";"0.26";"4.07";"6.53";"0";"CHEMBL817817";"Inhibitory activity against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136169";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"0.11"
"CHEMBL122796";"";"None";"449.50";"0";"1.69";"5";"NCc1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1";"Ki";"'='";"69.0";"nM";"7.16";"";"";"UO_0000065";"15.93";"0.31";"5.47";"4.51";"0";"CHEMBL817820";"Inhibitory constant against trypsin using human purified enzymes";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136511";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"69.0"
"CHEMBL143418";"";"None";"443.46";"0";"1.75";"8";"Cc1nc(N)ccc1CNC(=O)Cn1c(C)cnc(NCC(F)(F)c2ccccn2)c1=O";"Ki";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"13.75";"0.26";"4.35";"4.77";"0";"CHEMBL815470";"Inhibitory constant against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145961";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"800.0"
"CHEMBL11157";"L-374087";"None";"455.54";"0";"1.70";"1";"Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O";"Ki";"'='";"3200.0";"nM";"5.50";"";"";"UO_0000065";"12.06";"0.23";"3.79";"4.03";"1";"CHEMBL817818";"Inhibitory activity against trypsin was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131169";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"3200.0"
"CHEMBL1907778";"";"None";"514.73";"1";"3.01";"34";"CC1(C)CNc2c(cccc2S(=O)(=O)N[C@@H](CSCCCN)C(=O)N2CCC(CCF)CC2)C1";"Ki";"'='";"1320.0";"nM";"5.88";"";"";"UO_0000065";"11.42";"0.24";"2.87";"5.62";"0";"CHEMBL817139";"Compound was evaluated for its inhibitory activity against Trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133232";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"1.32"
"CHEMBL327715";"";"None";"328.38";"0";"3.89";"6m";"N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)nc2c1";"Ki";"'='";"6500.0";"nM";"5.19";"";"";"UO_0000065";"15.80";"0.28";"1.30";"5.25";"0";"CHEMBL824709";"Activity against Human Serine Protease Trypsin";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134564";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"6.5"
"CHEMBL48929";"";"None";"441.51";"0";"1.39";"8";"Cc1nc(N)ccc1CNC(=O)Cn1cccc(NS(=O)(=O)Cc2ccccc2)c1=O";"Ki";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"10.64";"0.21";"3.31";"3.45";"1";"CHEMBL816554";"Binding affinity towards trypsin was evaluated";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130777";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"20000.0"
"CHEMBL341920";"";"None";"573.42";"1";"3.55";"73";"N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3I)c2c1";"Ki";"'='";"240.0";"nM";"6.62";"";"";"UO_0000065";"11.54";"0.27";"3.07";"4.27";"0";"CHEMBL818182";"Binding affinity against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133520";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"240.0"
"CHEMBL440919";"";"None";"393.44";"1";"-0.41";"7";"CC(C)(C)OC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1";"Ki";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"13.59";"0.26";"5.76";"3.21";"0";"CHEMBL811611";"In vitro inhibition of trypsin.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135855";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"4.5"
"CHEMBL3667883";"";"None";"461.52";"0";"3.06";"BDBM158077";"C=CCN(CC(=O)O)C(=O)C(C)(C)Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1";"Ki";"'='";"0.5";"nM";"9.30";"";"355623";"UO_0000065";"20.15";"0.40";"6.24";"6.95";"1";"CHEMBL3887805";"Trypsin Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 uL) was mixed with 20 uM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 uL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 uL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886456";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"0.5"
"CHEMBL3667897";"";"None";"507.54";"1";"2.78";"BDBM158091";"CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@@H](CC(=O)O)C(=O)O";"Ki";"'='";"0.82";"nM";"9.09";"";"355637";"UO_0000065";"17.90";"0.35";"6.31";"5.05";"1";"CHEMBL3887805";"Trypsin Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 uL) was mixed with 20 uM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 uL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 uL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886456";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"0.82"
"CHEMBL3667902";"";"None";"521.57";"1";"3.17";"BDBM158096";"CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@@H](CCC(=O)O)C(=O)O";"Ki";"'='";"2.01";"nM";"8.70";"";"355642";"UO_0000065";"16.67";"0.33";"5.53";"4.84";"1";"CHEMBL3887805";"Trypsin Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 uL) was mixed with 20 uM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 uL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 uL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886456";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"2.01"
"CHEMBL330011";"";"None";"445.53";"0";"1.37";"1s";"N=C(N)c1ccc(O)c(CN2CC[C@H](NS(=O)(=O)c3cc4cnccc4s3)C2=O)c1";"Ki";"'>'";"2900.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL817137";"Binding affinity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131988";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";"2900.0"
"CHEMBL70328";"";"None";"416.48";"0";"2.80";"3b";"N=C(N)c1ccc(O)c(CCCNC(=O)c2ccc(-c3cccc(C(N)=O)c3)cc2)c1";"Ki";"'>'";"2900.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL817143";"In vitro inhibition of trypsin.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133371";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"2900.0"
"CHEMBL368762";"";"None";"382.47";"0";"3.81";"7b";"N=C(N)c1ccc(CNc2ccc3ccn(-c4ccc(C(=N)N)cc4)c3c2)cc1";"Ki";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"16.11";"0.29";"2.35";"5.28";"0";"CHEMBL815755";"In vitro inhibition of bovine trypsin.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133499";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"690.0"
"CHEMBL328721";"";"None";"429.53";"0";"1.66";"1x";"N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3cc4cccnc4s3)C2=O)c1";"Ki";"'='";"2900.0";"nM";"5.54";"";"";"UO_0000065";"12.89";"0.26";"3.88";"4.28";"0";"CHEMBL817137";"Binding affinity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131988";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";"2900.0"
"CHEMBL138709";"";"None";"448.51";"0";"2.34";"71";"N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)c2c1";"Ki";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"15.21";"0.29";"4.48";"4.07";"0";"CHEMBL818182";"Binding affinity against human trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Serine protease 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133520";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"150.0"
